id,split,hint_chars,hint
train_03216,train,1845,"Read the text about passenger pigeons.
Imagine the year 1800. The sky roars with a great clamor, like the sound of a thousand trains. The daytime sky becomes dark as sunlight is blotted out. Is it a terrible thunderstorm? No, it's actually a flock of thousands of passenger pigeons zooming overhead! Hundreds of years ago, there were three to five billion passenger pigeons in America, and the incredible sight of a flock's flight was a regular event. Sadly, passenger pigeons are extinct. None are left today.
Passenger pigeons were a migratory bird. Migratory birds move about from season to season searching for places to nest and feed. The passenger pigeon migration ranged from Canada all the way to Texas and Florida. During a migration, thousands of birds would fly together from morning to night for several days. People reported seeing flocks as large as a mile wide! The migrations took place in spring and fall, when warmer weather brought forests to life with fresh food sources like nuts, seeds, berries, and insects.
At first, it seemed as though passenger pigeons were an endless supply of tasty meat. When a massive flock passed by, hunters could easily catch a few passenger pigeons without affecting the others. But later, hunters would travel to find nesting sites. A passenger pigeon nesting site might contain over one million birds. The birds usually nested close together, and hunters found them to be easy targets.
Eventually this overhunting destroyed the pigeon population. The last known passenger pigeon in the world died at the Cincinnati Zoological Garden in 1914. The pigeon, named Martha, was twenty-nine years old. Although the extinction of the passenger pigeon is a terrible loss, it did have one happy result: it pushed people to create wildlife protection laws to protect other creatures from a similar fate."
val_02022,val,1785,"Read the text about beetles.
There are more species of beetles than any other life-form on Earth. About 380,000 species of beetles are known to exist, and more are discovered all the time. There are several theories about why there are so many different beetles, but fossils give us one clue. Using fossils, scientists can see how many ancient species used to exist but are now extinct. They found that beetles have the lowest extinction rates of any animal ever. This means that beetle species don't die out as often as other animals. Beetles seem to have an edge over other creatures.
One of the reasons beetles thrive is their body design. Most beetle species have two pairs of wings. The front pair is hard and thick like a helmet. These wings protect the rear set of wings and the beetle's abdomen. The front wings are not used for flying. Instead, the wings shield the beetle's veins and other soft parts from harm.
Beetle species live all over the world and have many different types of food available to them. Most beetles are omnivores. That means they eat both plants and animals. Their flexible diets help them adapt to different habitats, even when a certain food source becomes scarce. Beetles can find something to eat, no matter what.
Finally, beetles can move quickly over long distances. If there are any harmful changes to their environment, they can usually find a better place to live. For example, many animal species have died out during ice ages, when Earth's temperature has dropped for a long time. But many beetles survived this dangerous time. Beetles quickly notice temperature changes in their environment. So, they can quickly respond by migrating to a warmer place. No wonder there are so many beetles in the world. They have what it takes to stay alive."
train_12610,train,1766,"Read the text about bats.
Several kinds of animals ""talk"" to one another in the wild. Dolphins whistle, birds sing, and wolves howl. In recent years, researchers have paid more attention to animal ""languages,"" and they have made some surprising discoveries. Egyptian fruit bats, for example, have a very complex way of talking to one another. In fact, they are one of the few animals that direct their calls to another individual. Most animals make calls to their entire group. Bats can also share more complex information than other animals. This is because they have special sounds to communicate specific issues.
Researchers at Tel Aviv University in Israel wanted to learn more about what bats are really saying to one another. First, scientist Yossi Yovel and his team recorded sound and video of twenty-two bats. Fifteen thousand bat calls were collected over a period of seventy-five days. Then, the researchers tried to match each bat call with a behavior. They used special software to help them tell different bat calls apart and decipher the bats' messages.
What Yovel and his team found was astonishing. Egyptian fruit bats are not just making squeaky noises; they are expressing very distinct concerns. One type of call means the bats are arguing over food. Another type of call means the bats are figuring out where they are going to sleep. A third call is used when one bat has gotten too close to another.
The researchers made another startling discovery. A bat can alter the sound of its call when addressing different members of the group. This is similar to how humans may use a different tone of voice when speaking to different people. It turns out that bats use language as a way to communicate their needs to each other, almost like humans do."
val_04064,val,1757,"Read the text about okapis.
When you first see an okapi, you might think it's related to a horse or a zebra. Its body and neck are horse-like, and its legs have black-and-white stripes like a zebra does. But the okapi is not related to a horse or a zebra; its closest relative is actually the giraffe. In fact, okapis are sometimes called forest giraffes, since they live mainly in the rain forests of central Africa.
An okapi's relationship to a giraffe is most noticeable in its face. Like giraffes, okapis have long, thin faces topped with large, upward-pointing ears. Male okapis also have little furry horns like giraffes' horns. Additionally, both giraffes and okapis have long, dark tongues, which can grab and strip leaves from trees. And just like giraffes, okapis are plant eaters, feeding on leaves, buds, twigs, and fruit.
In many ways, though, okapis are quite different from their giraffe cousins. An okapi's neck is much shorter than a giraffe's. This is useful, because a long neck would make it difficult to move through thick vegetation. Another important difference is that giraffes are social and live in herds, while okapis are shy, solitary creatures. They tend to live alone, hiding in the dense forest. Perhaps that's why most people didn't even know okapis existed until around 1900.
Even though okapis tend to keep to themselves, they do have ways to communicate with each other. For example, they mark their territories by leaving scent marks with their feet. And mother okapis can communicate with their babies ""silently,"" using sounds that are too low in pitch for people—and predators—to hear. That's a good thing, too, as these animals are in danger of dying out. They need all the protection from predators that they can get."
train_11460,train,1754,"Read the text about capybaras.
What animal looks like a guinea pig and a hippopotamus? The world's largest rodent, the capybara! Also called capys, these animals enjoy being in wetlands and rain forest waters. They are strong swimmers that wade in mud to keep cool. Like guinea pigs, capys have short legs and chubby bodies with shaggy fur. Much like hippos, capys have their eyes, ears, and nostrils located high on their heads. This helps them check out their surroundings while staying mostly underwater. Staying out of sight is important when you're the favorite food of jaguars and snakes! Luckily, capybaras can hide underwater for five minutes at a time. Plus, their webbed toes help them paddle fast.
Capybaras live in Central and South America, usually in groups of between ten and forty. They eat plants like grass, reeds, grains, melons, and squash. They eat a lot of tough plants that are rich in fiber. To help break the plants down, capybaras have long teeth that chew side to side. They also have special bacteria in their guts that help break down fiber.
Though capybaras are happiest in the wild, they are easily trained. Zookeepers have taught these gentle rodents to walk onto scales to be weighed, go into crates, and sit still for physical exams. How do they do it? Food treats and belly rubs are fun rewards. Capybaras are so quick to learn that one was once used as a guide animal for a blind man in Suriname.
The capybara population is mostly stable, but capys are still threatened by deforestation. When large areas of trees are cleared, it reduces the capybaras' shelter. But now, people are starting to limit the number of trees people can cut in rain forests. This is good news for capybaras, as their home is being protected."
train_10704,train,1697,"Read the text about sloths.
Sloths are known for being one of the slowest animals on the planet. They also sleep up to twenty hours every day. Even though sloths are lethargic, they manage to stay safe by living in the treetops of South and Central America. Sloths have special qualities that help them spend their lives hanging from branches.
For example, sloths' long fur grows in the opposite direction from that of most animals. Most animals' fur grows downward, which helps rainwater run down off the animal. Sloths' fur, however, grows upward. When a sloth is hanging upside down, rainwater is still directed off its body. This helps the sloth dry off more quickly. Sloth fur has another special purpose. Each strand of fur has grooves that collect algae. The algae give the sloth a greenish color, which helps it blend in with its leafy environment. Along with sloths' slow movement, this disguise makes sloths hard for predators to spot.
Sloths also have long, curved claws on their front and back legs. Sloths can use their claws to protect themselves from predators. More importantly, the long, sharp claws curve around branches for a powerful grip. In this way, sloths' claws keep them from slipping and falling out of trees.
Hanging upside down all day can be hard for other reasons. In most animals, hanging would cause the stomach, heart, and other organs to press on the lungs. Not for sloths, though. Sloths have special bands of tissue called adhesions that help attach certain organs to the rib cage. These bands of tissue hold the organs in place so they don't press down on the sloth's lungs. Thus the sloth stays healthy and comfortable while hanging in its upside-down world."
val_01657,val,1697,"Read the text about sloths.
Sloths are known for being one of the slowest animals on the planet. They also sleep up to twenty hours every day. Even though sloths are lethargic, they manage to stay safe by living in the treetops of South and Central America. Sloths have special qualities that help them spend their lives hanging from branches.
For example, sloths' long fur grows in the opposite direction from that of most animals. Most animals' fur grows downward, which helps rainwater run down off the animal. Sloths' fur, however, grows upward. When a sloth is hanging upside down, rainwater is still directed off its body. This helps the sloth dry off more quickly. Sloth fur has another special purpose. Each strand of fur has grooves that collect algae. The algae give the sloth a greenish color, which helps it blend in with its leafy environment. Along with sloths' slow movement, this disguise makes sloths hard for predators to spot.
Sloths also have long, curved claws on their front and back legs. Sloths can use their claws to protect themselves from predators. More importantly, the long, sharp claws curve around branches for a powerful grip. In this way, sloths' claws keep them from slipping and falling out of trees.
Hanging upside down all day can be hard for other reasons. In most animals, hanging would cause the stomach, heart, and other organs to press on the lungs. Not for sloths, though. Sloths have special bands of tissue called adhesions that help attach certain organs to the rib cage. These bands of tissue hold the organs in place so they don't press down on the sloth's lungs. Thus the sloth stays healthy and comfortable while hanging in its upside-down world."
train_10945,train,1642,"Read the text about the blue dragon.
Do dragons exist? Believe it or not, the oceans contain a lizard-like creature called the blue glaucus or blue dragon. However, these ""dragons"" are not the fire-breathing beasts of fantasy. In fact, they are only about an inch long. Blue dragons are a type of sea slug.
Although these slugs are cuter than legendary dragons, you shouldn't let their squishy bodies fool you. These tiny creatures can be dangerous! Blue dragons eat poisonous sea creatures, such as Portuguese man-of-wars. The blue dragons store their prey's venom in their many ""fingers."" They can then use that stored poison to defend themselves. So, never touch a blue dragon—unless you want to get a painful and possibly serious sting.
Blue dragons have another way to stay safe from predators. They float on their backs so their bright blue bellies point upward. The blue blends in with the water, making it hard for predators flying overhead to see them. And predators swimming below will have trouble spotting the dragons' gray backs. The light color blends with the sunlight shining down through the water. This two-color effect is called countershading, and it's a good way to avoid getting eaten!
You might see blue dragons washed up on some beaches, but they usually drift on warm surfaces of the Atlantic, Pacific, and Indian Oceans. An air bubble in their stomach allows them to float for long periods of time. It is difficult for scientists to find these tiny creatures in the vast oceans. So, there is still much we don't know about them. What we do know, though, is that these beautiful dragons are full of surprising traits."
train_05415,train,1060,"The following passage describes the effects of a gene mutation, which is a permanent change in a gene. Read the passage and then follow the instructions below.

Cholesterol (koh-LES-ter-ol) is a fat-like substance that has many functions in the body. Cholesterol moves through the body in the blood. The amount of cholesterol in the blood is controlled by proteins, including the PCSK9 protein. The PCSK9 protein is encoded by the PCSK9 gene.
The PCSK9 protein adds cholesterol to the blood. The action of the PCSK9 protein can lead to blood cholesterol levels that may, over time, cause heart disease.
A certain person had a mutation in the PCSK9 gene. Compared to the PCSK9 gene without a mutation, the mutated PCSK9 gene encoded a form of the PCSK9 protein with a different structure.
This different form of the PCSK9 protein could add only a small amount of cholesterol to the blood. So, this person had a lower risk of developing heart disease than a person with more cholesterol in their blood.
Figure: an illustration of cholesterol with red blood cells."
train_02516,train,1053,"The following passage describes the effects of a gene mutation, which is a permanent change in a gene. Read the passage and then follow the instructions below.

The hairs in a jaguar's coat are colored by molecules called pigments. The pigments are made in cells at the base of each hair. When these cells make light pigments, the hair is light-colored. When these cells make dark pigments, the hair is black.
A protein called MCR1 controls how the jaguar's cells color each hair with light and dark pigments. The function of the MCR1 protein results in jaguars with spotted coats, made up of both light-colored and black hairs. The MCR1 protein is encoded by the MCR1 gene.
A certain jaguar had a solid black coat because of a mutation in its MCR1 gene. Compared to the MCR1 gene without a mutation, the mutated MCR1 gene encoded a form of the MCR1 protein with a different structure.
This different form of the MCR1 protein allowed only dark pigments to color the hairs.
Figure: a jaguar with a solid black coat (left) and a jaguar with a spotted coat."
