prompt_structure,context_mode,choice_format,choice_order,scoring_target,length_normalize,image_size,enable_image_augmentation,brightness_jitter,slight_rotation_deg,include_metadata_in_prompt,metadata_fields,question_label,choices_label,answer_prefix_text,instruction_prefix,ablation_id,n_examples,accuracy,percent_correct,mean_confidence_margin,std_confidence_margin,prediction_distribution
minimal,none,letter_dot,original,letter,True,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,Answer:,,nongenA_001,12,0.4166666666666667,41.66666666666667,3.5651041666666665,0.650828089967675,{0: 1.0}
minimal,hint_only,letter_dot,original,letter,True,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,Answer:,,nongenA_002,12,0.4166666666666667,41.66666666666667,3.5651041666666665,0.650828089967675,{0: 1.0}
minimal,lecture_only,letter_dot,original,letter,True,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,Answer:,,nongenA_003,12,0.4166666666666667,41.66666666666667,3.5651041666666665,0.650828089967675,{0: 1.0}
minimal,hint_lecture,letter_dot,original,letter,True,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,Answer:,,nongenA_004,12,0.4166666666666667,41.66666666666667,3.5651041666666665,0.650828089967675,{0: 1.0}
explicit_instruction,none,letter_dot,original,letter,True,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,Answer:,,nongenA_005,12,0.4166666666666667,41.66666666666667,3.0130208333333335,0.46778691572585224,{0: 1.0}
explicit_instruction,hint_only,letter_dot,original,letter,True,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,Answer:,,nongenA_006,12,0.4166666666666667,41.66666666666667,2.15625,0.5704016768178953,{0: 1.0}
explicit_instruction,lecture_only,letter_dot,original,letter,True,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,Answer:,,nongenA_007,12,0.4166666666666667,41.66666666666667,2.4244791666666665,0.4887168196146984,{0: 1.0}
explicit_instruction,hint_lecture,letter_dot,original,letter,True,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,Answer:,,nongenA_008,12,0.4166666666666667,41.66666666666667,1.9739583333333333,0.5102837837228962,{0: 1.0}
question_first,none,letter_dot,original,letter,True,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,Answer:,,nongenA_009,12,0.4166666666666667,41.66666666666667,4.080729166666667,0.9287314178173215,{0: 1.0}
question_first,hint_only,letter_dot,original,letter,True,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,Answer:,,nongenA_010,12,0.4166666666666667,41.66666666666667,3.2161458333333335,0.5203317897658879,{0: 1.0}
question_first,lecture_only,letter_dot,original,letter,True,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,Answer:,,nongenA_011,12,0.4166666666666667,41.66666666666667,3.7708333333333335,0.30654039519921167,{0: 1.0}
question_first,hint_lecture,letter_dot,original,letter,True,384,False,0.0,0.0,True,"['subject', 'grade', 'topic']",Question:,Choices:,Answer:,,nongenA_012,12,0.4166666666666667,41.66666666666667,3.2630208333333335,0.34621707813302943,{0: 1.0}
