id,split,question_chars,question
train_07667,train,289,"Why might putting each tadpole in its own pool of water increase the reproductive success of a male Amazonian poison frog? Complete the claim below that answers this question and is best supported by the passage.
Putting each tadpole in its own pool of water increases the chances that ()."
train_02628,train,278,"Why might forming strong social bonds with other females increase the reproductive success of a female baboon? Complete the claim below that answers this question and is best supported by the passage.
Forming strong social bonds with other females increases the chances that ()."
train_09024,train,273,"Why might feeding offspring during mouthbrooding increase the reproductive success of a female blunthead cichlid? Complete the claim below that answers this question and is best supported by the passage.
Feeding offspring during mouthbrooding increases the chances that ()."
train_00927,train,272,"Why might raising cubs with other lionesses in a pride increase an African lioness's reproductive success? Complete the claim below that answers this question and is best supported by the passage.
Raising cubs with other lionesses in a pride increases the chances that ()."
train_10389,train,268,"Why might removing broken eggshells from the nest increase the reproductive success of a black-headed gull? Complete the claim below that answers this question and is best supported by the passage.
Removing broken eggshells from the nest increases the chances that ()."
train_11068,train,266,"Complete the text.
The Abbasid (uh-BAH-sid) Caliphate started to rule around () years after the death of Muhammad. The Abbasid caliphs came to power during the Abbasid Revolution, when many different people were unhappy with the way the () caliphs before them ruled."
train_04465,train,259,"Complete the text to describe the diagram.
Solute particles moved in both directions across the permeable membrane. But more solute particles moved across the membrane (). When there was an equal concentration on both sides, the particles reached equilibrium."
train_02455,train,259,"Complete the text to describe the diagram.
Solute particles moved in both directions across the permeable membrane. But more solute particles moved across the membrane (). When there was an equal concentration on both sides, the particles reached equilibrium."
train_10763,train,259,"Complete the text to describe the diagram.
Solute particles moved in both directions across the permeable membrane. But more solute particles moved across the membrane (). When there was an equal concentration on both sides, the particles reached equilibrium."
train_10149,train,259,"Complete the text to describe the diagram.
Solute particles moved in both directions across the permeable membrane. But more solute particles moved across the membrane (). When there was an equal concentration on both sides, the particles reached equilibrium."
train_11753,train,259,"Complete the text to describe the diagram.
Solute particles moved in both directions across the permeable membrane. But more solute particles moved across the membrane (). When there was an equal concentration on both sides, the particles reached equilibrium."
train_08452,train,259,"Complete the text to describe the diagram.
Solute particles moved in both directions across the permeable membrane. But more solute particles moved across the membrane (). When there was an equal concentration on both sides, the particles reached equilibrium."
train_03902,train,259,"Complete the text to describe the diagram.
Solute particles moved in both directions across the permeable membrane. But more solute particles moved across the membrane (). When there was an equal concentration on both sides, the particles reached equilibrium."
train_00325,train,259,"Complete the text to describe the diagram.
Solute particles moved in both directions across the permeable membrane. But more solute particles moved across the membrane (). When there was an equal concentration on both sides, the particles reached equilibrium."
train_08425,train,259,"Complete the text to describe the diagram.
Solute particles moved in both directions across the permeable membrane. But more solute particles moved across the membrane (). When there was an equal concentration on both sides, the particles reached equilibrium."
train_08742,train,259,"Complete the text to describe the diagram.
Solute particles moved in both directions across the permeable membrane. But more solute particles moved across the membrane (). When there was an equal concentration on both sides, the particles reached equilibrium."
train_10885,train,259,"Complete the text to describe the diagram.
Solute particles moved in both directions across the permeable membrane. But more solute particles moved across the membrane (). When there was an equal concentration on both sides, the particles reached equilibrium."
train_07591,train,259,"Complete the text to describe the diagram.
Solute particles moved in both directions across the permeable membrane. But more solute particles moved across the membrane (). When there was an equal concentration on both sides, the particles reached equilibrium."
train_01772,train,259,"Complete the text to describe the diagram.
Solute particles moved in both directions across the permeable membrane. But more solute particles moved across the membrane (). When there was an equal concentration on both sides, the particles reached equilibrium."
train_03890,train,259,"Complete the text to describe the diagram.
Solute particles moved in both directions across the permeable membrane. But more solute particles moved across the membrane (). When there was an equal concentration on both sides, the particles reached equilibrium."
