id,split,image_path,question,choices,num_choices,answer,subject,grade,topic,category,skill,context_group,difficulty_score
train_11068,train,images/train/train_11068.png,"Complete the text.
The Abbasid (uh-BAH-sid) Caliphate started to rule around () years after the death of Muhammad. The Abbasid caliphs came to power during the Abbasid Revolution, when many different people were unhappy with the way the () caliphs before them ruled.","[""70 . . . Umayyad"", ""120 . . . Umayyad"", ""120 . . . Rightly Guided"", ""70 . . . Rightly Guided""]",4,1,social science,grade6,world-history,Islamic empires,Early Islamic caliphates,hint_only,0.6385453645065483
train_07667,train,images/train/train_07667.png,"Why might putting each tadpole in its own pool of water increase the reproductive success of a male Amazonian poison frog? Complete the claim below that answers this question and is best supported by the passage.
Putting each tadpole in its own pool of water increases the chances that ().","[""the male's tadpoles will be larger when they hatch"", ""the male will carry his tadpoles through the forest"", ""the male's tadpoles will become adult frogs""]",3,2,natural science,grade8,literacy-in-science,Adaptations and natural selection,How can animal behaviors affect reproductive success? Identify evidence to support a claim,hint_and_lecture,0.5668086014871573
train_02628,train,images/train/train_02628.png,"Why might forming strong social bonds with other females increase the reproductive success of a female baboon? Complete the claim below that answers this question and is best supported by the passage.
Forming strong social bonds with other females increases the chances that ().","[""the female's offspring will live longer"", ""the female will spend more time grooming other baboons"", ""the female's offspring will be around other females""]",3,0,natural science,grade8,literacy-in-science,Adaptations and natural selection,How can animal behaviors affect reproductive success? Identify evidence to support a claim,hint_and_lecture,0.5482578306424271
train_09024,train,images/train/train_09024.png,"Why might feeding offspring during mouthbrooding increase the reproductive success of a female blunthead cichlid? Complete the claim below that answers this question and is best supported by the passage.
Feeding offspring during mouthbrooding increases the chances that ().","[""the female will become weak and unhealthy"", ""the female's offspring will survive"", ""the female will hold more offspring in her mouth""]",3,1,natural science,grade8,literacy-in-science,Adaptations and natural selection,How can animal behaviors affect reproductive success? Identify evidence to support a claim,hint_and_lecture,0.541478450223205
train_00927,train,images/train/train_00927.png,"Why might raising cubs with other lionesses in a pride increase an African lioness's reproductive success? Complete the claim below that answers this question and is best supported by the passage.
Raising cubs with other lionesses in a pride increases the chances that ().","[""the lioness's cubs will be around other cubs"", ""the lioness's cubs will survive attacks"", ""the lioness will feed the cubs of other lionesses""]",3,1,natural science,grade8,literacy-in-science,Adaptations and natural selection,How can animal behaviors affect reproductive success? Identify evidence to support a claim,hint_and_lecture,0.5382344238184845
train_10389,train,images/train/train_10389.png,"Why might removing broken eggshells from the nest increase the reproductive success of a black-headed gull? Complete the claim below that answers this question and is best supported by the passage.
Removing broken eggshells from the nest increases the chances that ().","[""the gull's chicks will get food"", ""the gull's offspring will survive"", ""the gull will be away from its offspring at a given time""]",3,1,natural science,grade8,literacy-in-science,Adaptations and natural selection,How can animal behaviors affect reproductive success? Identify evidence to support a claim,hint_and_lecture,0.5323871429322459
train_06006,train,images/train/train_06006.png,"After the Akkadian Empire ended, many cities and empires tried to control Mesopotamia. Around the 1790s BCE, which empire started controlling Mesopotamia?","[""the Neo-Sumerian Empire"", ""the Elamite Empire"", ""the Babylonian Empire"", ""the Akkadian Empire""]",4,2,social science,grade6,world-history,Ancient Mesopotamia,Mesopotamian empires,hint_only,0.5313451550159265
train_02595,train,images/train/train_02595.png,"After the Akkadian Empire ended, many cities and empires tried to control Mesopotamia. Around the 1790s BCE, which empire started controlling Mesopotamia?","[""the Akkadian Empire"", ""the Elamite Empire"", ""the Babylonian Empire"", ""the Neo-Sumerian Empire""]",4,2,social science,grade6,world-history,Ancient Mesopotamia,Mesopotamian empires,hint_only,0.5313451550159265
train_03802,train,images/train/train_03802.png,"After the Akkadian Empire ended, many cities and empires tried to control Mesopotamia. Around the 1790s BCE, which empire started controlling Mesopotamia?","[""the Babylonian Empire"", ""the Neo-Sumerian Empire"", ""the Akkadian Empire"", ""the Elamite Empire""]",4,0,social science,grade6,world-history,Ancient Mesopotamia,Mesopotamian empires,hint_only,0.5313451550159265
val_02023,val,images/val/val_02023.png,"After the Akkadian Empire ended, many cities and empires tried to control Mesopotamia. Around the 1790s BCE, which empire started controlling Mesopotamia?","[""the Babylonian Empire"", ""the Akkadian Empire"", ""the Neo-Sumerian Empire"", ""the Elamite Empire""]",4,0,social science,grade6,world-history,Ancient Mesopotamia,Mesopotamian empires,hint_only,0.5313451550159265
train_11847,train,images/train/train_11847.png,"After the Akkadian Empire ended, many cities and empires tried to control Mesopotamia. Around the 1790s BCE, which empire started controlling Mesopotamia?","[""the Elamite Empire"", ""the Babylonian Empire"", ""the Akkadian Empire"", ""the Neo-Sumerian Empire""]",4,1,social science,grade6,world-history,Ancient Mesopotamia,Mesopotamian empires,hint_only,0.5313451550159265
val_03739,val,images/val/val_03739.png,"After the Akkadian Empire ended, many cities and empires tried to control Mesopotamia. Around the 1790s BCE, which empire started controlling Mesopotamia?","[""the Babylonian Empire"", ""the Elamite Empire"", ""the Akkadian Empire"", ""the Neo-Sumerian Empire""]",4,0,social science,grade6,world-history,Ancient Mesopotamia,Mesopotamian empires,hint_only,0.5313451550159265
train_02818,train,images/train/train_02818.png,"Complete the text.
Athens was a major trading city-state along the coast of the () Sea. Sparta, known for its well-trained soldiers, was located to the () of Athens.","[""Aegean . . . northeast"", ""Ionian . . . northwest"", ""Ionian . . . southeast"", ""Aegean . . . southwest""]",4,3,social science,grade6,world-history,Greece,Comparing Athens and Sparta: part II,hint_only,0.5282763419583579
val_00671,val,images/val/val_00671.png,"Why might covering its eggs with its body increase the reproductive success of a snail leech? Complete the claim below that answers this question and is best supported by the passage.
Covering its eggs with its body increases the chances that ().","[""the leech's eggs will hatch"", ""the leech will not eat for up to a week"", ""the leech will fight a water snail""]",3,0,natural science,grade8,literacy-in-science,Adaptations and natural selection,How can animal behaviors affect reproductive success? Identify evidence to support a claim,hint_and_lecture,0.5186780007412312
train_02678,train,images/train/train_02678.png,Which letter represents the location of Rome?,"[""E"", ""D"", ""A"", ""C"", ""B""]",5,4,social science,grade6,world-history,Rome and the Byzantine Empire,The beginnings of Rome,hint_only,0.5098892805724007
train_11460,train,images/train/train_11460.png,Which sentence correctly describes capybaras?,"[""They are shy animals that usually hide in tall grass."", ""They are wild guinea pigs that live in mountain forests."", ""They are the closest relatives of the hippopotamus."", ""They are large rodents that are powerful swimmers.""]",4,3,language science,grade5,reading-comprehension,Informational texts: level 1,Read passages about animals,hint_only,0.5071490841492341
train_07987,train,images/train/train_07987.png,"Why might guarding the nest increase the reproductive success of a female long-tailed sun skink? Complete the claim below that answers this question and is best supported by the passage.
Guarding the nest increases the chances that ().","[""the female will lay more eggs"", ""the female will be injured by a snake"", ""the female's eggs will hatch""]",3,2,natural science,grade8,literacy-in-science,Adaptations and natural selection,How can animal behaviors affect reproductive success? Identify evidence to support a claim,hint_and_lecture,0.4993811857920284
val_03814,val,images/val/val_03814.png,"Complete the sentence.
An ostrich is ().","[""a fish"", ""a mammal"", ""an amphibian"", ""a bird"", ""a reptile""]",5,3,natural science,grade2,literacy-in-science,Animals,Seed disperser: common ostrich,hint_only,0.496295812734033
val_04111,val,images/val/val_04111.png,"Why might fanning eggs increase the reproductive success of a male fifteen-spined stickleback? Complete the claim below that answers this question and is best supported by the passage.
Fanning eggs increases the chances that ().","[""the male will build a nest for females to lay eggs in"", ""the male's offspring will become adults"", ""the male will spend more energy while waving his fins""]",3,1,natural science,grade8,literacy-in-science,Adaptations and natural selection,How can animal behaviors affect reproductive success? Identify evidence to support a claim,hint_and_lecture,0.4916178564945186
train_02336,train,images/train/train_02336.png,"Why might grooming eggs increase the reproductive success of a female European earwig? Complete the claim below that answers this question and is best supported by the passage.
Grooming eggs increases the chances that ().","[""the female will spend time near her offspring"", ""the female will produce more eggs"", ""the female's offspring will survive""]",3,2,natural science,grade8,literacy-in-science,Adaptations and natural selection,How can animal behaviors affect reproductive success? Identify evidence to support a claim,hint_and_lecture,0.49095759238899417
train_12056,train,images/train/train_12056.png,"According to the timeline, which of the following statements is true about the period between 500 BCE and 50 BCE?","[""Rome was at war only a few times during these years."", ""Rome was always at war during these years."", ""Rome was at war for most of these years."", ""Rome was almost never at war for more than two years.""]",4,2,social science,grade7,world-history,Rome and the Byzantine Empire,The Roman Republic: part II,hint_only,0.48827616727177053
val_03959,val,images/val/val_03959.png,What is the expected ratio of offspring that have myotonia congenita to offspring that do not have myotonia congenita? Choose the most likely ratio.,"[""1:3"", ""2:2"", ""3:1"", ""0:4"", ""4:0""]",5,4,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.4813639816593538
